id,typeHelp,chooseFriend,n
FLIP-60_01,goal,f,4
FLIP-60_01,goal,n,2
FLIP-60_01,share,f,0
FLIP-60_01,share,n,0
FLIP-60_01,comfort,f,0
FLIP-60_01,comfort,n,0
FLIP-60_02,goal,f,5
FLIP-60_02,goal,n,1
FLIP-60_02,share,f,0
FLIP-60_02,share,n,0
FLIP-60_02,comfort,f,0
FLIP-60_02,comfort,n,0
FLIP-60_03,goal,f,2
FLIP-60_03,goal,n,0
FLIP-60_03,share,f,0
FLIP-60_03,share,n,0
FLIP-60_03,comfort,f,0
FLIP-60_03,comfort,n,0
FLIP-60_04,goal,f,2
FLIP-60_04,goal,n,4
FLIP-60_04,share,f,0
FLIP-60_04,share,n,0
FLIP-60_04,comfort,f,0
FLIP-60_04,comfort,n,0
FLIP-60_06,goal,f,0
FLIP-60_06,goal,n,0
FLIP-60_06,share,f,0
FLIP-60_06,share,n,0
FLIP-60_06,comfort,f,0
FLIP-60_06,comfort,n,0
FLIP-60_07,goal,f,3
FLIP-60_07,goal,n,2
FLIP-60_07,share,f,0
FLIP-60_07,share,n,0
FLIP-60_07,comfort,f,1
FLIP-60_07,comfort,n,0
FLIP-60_08,goal,f,0
FLIP-60_08,goal,n,0
FLIP-60_08,share,f,0
FLIP-60_08,share,n,0
FLIP-60_08,comfort,f,0
FLIP-60_08,comfort,n,0
FLIP-60_09,goal,f,4
FLIP-60_09,goal,n,2
FLIP-60_09,share,f,0
FLIP-60_09,share,n,0
FLIP-60_09,comfort,f,0
FLIP-60_09,comfort,n,0
FLIP-60_10,goal,f,0
FLIP-60_10,goal,n,1
FLIP-60_10,share,f,0
FLIP-60_10,share,n,0
FLIP-60_10,comfort,f,0
FLIP-60_10,comfort,n,0
FLIP-60_12,goal,f,3
FLIP-60_12,goal,n,2
FLIP-60_12,share,f,0
FLIP-60_12,share,n,0
FLIP-60_12,comfort,f,0
FLIP-60_12,comfort,n,0
FLIP-60_13,goal,f,0
FLIP-60_13,goal,n,1
FLIP-60_13,share,f,0
FLIP-60_13,share,n,0
FLIP-60_13,comfort,f,1
FLIP-60_13,comfort,n,1
FLIP-60_14,goal,f,3
FLIP-60_14,goal,n,3
FLIP-60_14,share,f,0
FLIP-60_14,share,n,0
FLIP-60_14,comfort,f,0
FLIP-60_14,comfort,n,0
FLIP-60_15,goal,n,4
FLIP-60_15,goal,f,2
FLIP-60_15,share,f,0
FLIP-60_15,share,n,0
FLIP-60_15,comfort,f,0
FLIP-60_15,comfort,n,0
FLIP-60_16,comfort,n,2
FLIP-60_16,comfort,f,1
FLIP-60_16,goal,f,1
FLIP-60_16,goal,n,1
FLIP-60_16,share,f,0
FLIP-60_16,share,n,0
FLIP-60_17,goal,f,0
FLIP-60_17,goal,n,0
FLIP-60_17,share,f,0
FLIP-60_17,share,n,0
FLIP-60_17,comfort,f,0
FLIP-60_17,comfort,n,0
FLIP-60-18,goal,f,2
